name,code,category,unit,prices[0][price],prices[0][currency]
"Bazén kruhový PŘELIV Ø4×1.5m",BAZ-KRU-PR-4-1.5,bazeny,ks,55900,CZK
"Bazén kruhový PŘELIV Ø4.5×0.5m",BAZ-KRU-PR-4.5-0.5,bazeny,ks,44200,CZK
"Bazén kruhový PŘELIV Ø4.5×0.75m",BAZ-KRU-PR-4.5-0.75,bazeny,ks,49400,CZK
"Bazén kruhový PŘELIV Ø4.5×1m",BAZ-KRU-PR-4.5-1,bazeny,ks,55250,CZK
"Bazén kruhový PŘELIV Ø4.5×1.2m",BAZ-KRU-PR-4.5-1.2,bazeny,ks,60450,CZK
"Bazén kruhový PŘELIV Ø4.5×1.35m",BAZ-KRU-PR-4.5-1.35,bazeny,ks,63700,CZK
"Bazén kruhový PŘELIV Ø4.5×1.5m",BAZ-KRU-PR-4.5-1.5,bazeny,ks,66950,CZK
"Románské schodiště",SCHOD-ROMAN,prislusenstvi,ks,18000,CZK
"Trojúhelníkové rohové schodiště",SCHOD-TROJ,prislusenstvi,ks,12000,CZK
"Schodiště přes celou šířku",SCHOD-SIRKA,prislusenstvi,ks,35000,CZK
"Schodiště s relaxační lavicí",SCHOD-LAVICE,prislusenstvi,ks,42000,CZK
"Hranaté rohové schodiště",SCHOD-HRAN,prislusenstvi,ks,14000,CZK
"Technologická šachta",TECH-SACHTA,sluzby,ks,25000,CZK
"Technologická stěna",TECH-STENA,sluzby,ks,18000,CZK
"Jiné umístění technologie",TECH-JINE,sluzby,ks,15000,CZK
"LED osvětlení podvodní",PRISLU-LED,prislusenstvi,ks,8500,CZK
"Protiproud",PRISLU-PROTIP,prislusenstvi,ks,35000,CZK
"Chlorová úprava vody",PRISLU-CHLOR,prislusenstvi,ks,12000,CZK
"Solná elektrolýza",PRISLU-SUL,prislusenstvi,ks,28000,CZK
"Příprava odbočky pro ohřev",OHREV-PRIP,prislusenstvi,ks,3500,CZK
"Tepelné čerpadlo",OHREV-TC,prislusenstvi,ks,65000,CZK
"Zastřešení bazénu",ZASTRE-STD,prislusenstvi,ks,150000,CZK
